# character, uuid
GENERAL GABRIEL, 33f18fc5-17ae-5777-aaef-9cc6a67a7460
GEORGES BATROC, e090451d-2d53-5cb3-8268-992a3da48baa
GEORGI LUCHKOV, d55107f4-cbd4-5152-aee7-4d540bdb2d8c
GERMAN INNKEEPER, 75b22998-2e57-5f81-9fd7-fe93d6797601
GERMAN OLD MAN, cb64e538-cc05-5e2a-8f55-c7648da51826
GILMORE HODGE, c86c8895-fd90-5664-a878-374dabca963c
GIRL, 05fa706f-19ed-57c3-99fc-2a827ceb657e
GOLDSTEIN, 0c8c55f9-f0ac-5dc5-9efd-4dd8ea665703
GOVERNMENT EMPLOYEE, b66bd565-2067-586c-9bda-3e5517a28865
GOVERNMENT OFFICIAL #1, e567656c-7931-5090-be45-07a5d40920d4
GOVERNMENT OFFICIAL #2, c65893c6-8142-5eb0-8be3-8e218dc93751
GRANDMASTER, 545d0fad-a436-543d-a1b5-4fb8a9dc4ab6
GRANDPA QUILL, 1b7c30b8-94e1-52c7-8486-e6034607bba6
GRIEVING MAN, 2f2a0d8c-d40e-512c-938b-16bba55924f5
GRIOT, 835c3ece-7e6d-576b-ab93-76c758b00816
GROOT, 359d474d-00ec-5991-8570-08095b9c6d99
GSG-9 DRIVER, 66f70b28-e69b-5164-b05c-d458b394f515
GSG-9 SOLDIER, 4786a3cd-d906-5dfd-a813-45157fa632e0
GUARD, 398b6789-0e24-53bc-829a-2bae70532ab5
GUARD #1, 12f00d60-d4ce-50f1-a979-392d361f12c1
GUARD #2, 53d5bfc8-bc35-531b-ab40-c26a3c96f1b1
GUARDS, 08c870f1-9f2e-59e0-80ac-1bdd43293727
HALF-NUT, 914b810c-da81-5953-9b65-63bd68ce9748
HAMMER SECURITY GUARD, 2c8e77ad-904c-5155-a35d-bdc21ef8668e
HANK PYM, 550d75ab-33f0-5cdb-be9b-1fbeb918a224
HAPPY HOGAN, eca6952a-f5b9-5f35-8c7d-dd10bd1ff502
HAPPY'S NURSE, 18573412-e2d1-5bef-93e8-0014c5019701
HARLEY KEENER, c0b6769e-ecc1-532a-9401-c825b0b911b3
HEAD ENGINEER, 3fdc0105-76e6-54fc-9a8a-598b033ad7d2
HEATHER, 1753563f-7e5d-56a9-876a-9702e9e40c08
HEIMDALL, dd103df1-bdcb-57ad-9d50-f50a235c91ec
HEINZ KRUGER, 36f1636e-4a92-5d55-a2f2-2fefa4503d73
HELA, 58bc0d17-cb48-50de-8a93-fe6162ad3756
HELICARRIER INTERCOM, e8060d0b-1812-5bef-aaa6-a62b34ec2cde
HELMUT ZEMO, 8d08f1ac-d5a9-532a-9c5a-bd8269ff165c
HERMAN SCHULTZ, d6ef3766-7f80-5683-99a1-9ef96b32505e
HIDEOUS RABBIT, 90d48a51-6178-58bf-b154-b84a9132809a
HISTORY TEACHER, adf286ca-88a8-5612-9950-45c92948c1b5
HO YINSEN, 86d138a2-85c7-5431-8d40-66e631bfef54
HOGUN, 0d62e56b-bbf6-5b17-adcb-cfdca5900a71
HOPE VAN DYNE, 52dbb287-a102-540a-a339-cd2a6c631ef4
HOSPITAL NEWS REPORTER, 1bc63b87-1773-5fc3-bcaf-4b3945553f18
HOWARD STARK, 5fd74e70-e177-5f74-914c-7ee6756e9615
HULK, e2af3af1-5608-5c74-8221-da7dd271a408
HUSBAND, c9a6ec73-7f84-59d4-b9d6-3e3061c893ae
HUTTER, 40c7bf2e-9ddd-55ab-8955-3d02fb2c9795
HYDRA DISPATCH, 5a3224ea-3953-5abf-8673-1a93cddaa836
HYDRA GUARDS, 35984fb1-a1dd-50b0-9844-8c75ed7949af
HYDRA LIEUTENANT, 485ef018-e959-5441-91b8-662df54cbcb1
HYDRA SOLDIER, 5d4463c4-dcdb-500f-a727-cd965cad4042
HYDRA TECHNICIANS, 6c5d4e21-6349-55ad-b30c-83638fcea769
IAN, fd908e59-46d6-5ade-9067-660b978328fc
IAN BOOTHBY, 1c996642-3e3f-5341-8bd2-379a454f817b
ICE CREAM STORE CUSTOMER, cecdfd88-cfa5-5be8-8c86-95656571e58c
INTERCOM VOICE, 5c00084b-3df3-58bd-98b9-492a4e9cea26
IRON LEGION, 0ce29464-0cfe-52e6-aa8e-378867038dc1
IRON MAN JIMMY, 5169b926-ef2e-52af-9392-1b2c719b6ed8
IRON MAN KID, f1f6d014-9fa2-590e-9cdf-f61be1d4f5f9
ISABELA, 82f17f89-7daa-58ec-8939-a2fcf21563da
IVAN VANKO, d8dc19d3-edac-55fc-954d-959b0422eeb3
JABARI WARRIORS, 99d46bb4-d651-5e23-8853-71744c9f86c0
JACK, d1571d0c-19dd-5835-98dd-c0299fe7921c
JACK ROLLINS, d5bc13c4-e08f-534d-bef2-346554ed642f
JACK TAGGART, 43b41877-ea7d-52a4-b0c9-7dd0e9fb40a7
JACKSON BRICE, 05313642-7dae-58cb-887d-c91665808fed
JACQUES DERNIER, 77578be0-d4b1-5643-9b87-eea9f7fa2ffe
JAMES "JIM" PAXTON, 1f4161c2-5d2b-522e-a1cb-af76d637423b
JAMES MONTGOMERY FALSWORTH, 151753be-fe71-56e2-bbfa-b3fd7b04e1b2
JAMES RHODES, 0ed979e5-d7de-5636-a2b3-04a0cc8d23ec
JAN, 8e861853-94ba-52bd-8269-4c29f30fd72d
JANE FOSTER, a19a4f38-9b97-5d4a-9cfd-9fa8388bde78
JAPSER SITWELL, d036c001-3147-5b57-8e58-da82b0c63916
JAQUES DERNIER, 72c1f399-a554-5b15-b9b1-4f40f9256bd8
JARVIS, 0ed84405-e673-599d-a565-c9206cb48653
JASON IONELLO, 27454bc4-561c-5828-846f-71b0278b3fae
JASPER SITWELL, 8caef160-948b-5654-90fa-55b767ecfafd
JET PILOT, 5d732189-1d30-5a2e-8e68-dd4775556b88
JIM MORITA, 69ab5146-138d-5403-b028-61f2e005b521
JOAN RIVERS, 83ef0eed-834f-5913-bc23-90597cc934cc
JOSEPH DANVERS, b2d755db-f1a3-5914-901e-dbf323ef05a8
JOTUN, ce48f041-c3e0-5b3e-9706-decca30690b0
JOTUN SENTRY, a0869057-6e64-564f-b10d-81243d067f03
JOTUN VOICE, b4d5c217-acd3-509f-8906-e82b6bb960d0
JUSTIN HAMMER, 14766f1b-1160-5e0a-a392-232edee0d128
KAREN, e1bf3c24-ae61-513d-b216-a0a46a58108b
KHALID, 1f1f3abe-d187-5fc4-a8fe-f94fb070234b
KID IN THE BACKSEAT, 0bdd3178-4efa-5cd4-8fd3-fe4eac0d65a5
KIDS IN USO AUDIENCE, 8674c18c-535f-5814-977a-ce23eb6b20dd
KLAUE'S MERCENARY, 0cfb9377-e3a6-50c1-a259-a30e0c2d58d6
KORATH, ca9f236d-4f6b-5a52-8929-367a825c4488
KORG, a2fa7e80-88be-5305-860b-2b9c515944ce
KRAGLIN, 9b4c2942-c28c-59b7-8e51-63ffe9c1be40
KREE, d642de00-bfd1-508c-aed7-c87546e6df78
KURSE, f3c6e7f3-1468-50f8-a0b6-021254ddcd72
KURT, 9ace14f8-ab60-5ed0-9dab-f6cf7e1e492d
LAUFEY, 44fee5b7-da2a-5eb4-b0bd-7b5c0210e110
LAURA BARTON, 60915db2-887e-5b50-af5b-46f3f57e036e
LEAD SCRAPPER, 25043fde-8491-5f12-bbbf-a00d53a4e453
LIBRARIAN, 43860dd1-64cd-5471-87ca-615025fab05d
LILA BARTON, 10ec5d9d-b1da-50bc-8ed0-27ff966229cc
LIMBANI, 10b75540-0f57-50a2-964a-086ad779d789
LINDA, 3b0fbb03-6ec2-5281-a99e-ba8ec0a83de3
LITTLE BOY, cef30565-30fb-5b80-a8ba-71dea727f770
LIZ TOOMES, 28cabc60-fe52-525e-a301-3f3f1096a0a4
LOKI, 56590de3-cb81-55b3-889d-51fb0838c664
LOUD JERK, 46930dbb-2879-5be3-b945-3e45be1c26e6
LUIS, a61f7564-b8f8-5601-9ac0-50bb648852b3
M'BAKU, ecb746fe-d6ae-5327-87ee-cfc3fbecfd30
M.P., d93f82d6-62bc-5078-ad31-5aefab05f145
MAC GARGAN, 0c1e1d0a-3b6d-5883-b2d6-522012b7112f
MADAME B, 013d7bc3-14c8-5d2d-85f8-d726d2427a23
MADDIE, e96cdd20-4665-5fad-bb07-64c2c499b349
MAGGIE LANG, 2ec35106-b382-5af3-980d-54a4035e9b50
MAIDEN, 9233f4c5-675c-56e3-8963-79d9b5c6d26c
MAINFRAME, c4cf0011-9916-5443-aea7-261de4ab85c1
MAINTENANCE GUY, acdd8fda-572c-5eb1-b2f9-522c7268302b
MAJOR ALLEN, 8811908f-58f9-50f4-ba2f-8cbf2685789c
MALE AGENT, 989ebd0e-e6bc-5b5f-81b4-bb3a147997cd
MALE CITIZEN, 56d11432-6fd7-5a07-a5e1-a4bcf292b767
MALE NURSE, f895f085-80be-5380-865d-bb2e7fa78edc
MALE REPORTER, 8382ceef-a568-5be7-8d17-b340b65bb4b7
MALE VOICE, c691d017-28bb-5115-bc95-afd6d342c64f
MALEKITH, 8eebecf9-5e42-5163-a9fd-32e3481da658
MAN, f7a3e048-4c81-5091-be65-b02cd7f30864
MAN IN CROWD, 160d781c-15bb-52cf-8537-e158ae5e3588
MAN ON PA, 065cb1ca-4d05-554f-b0bc-21350f08f5ef
MAN ON PA #1, 1df6a5d5-417f-52ea-b8a2-793acf5ed584
MAN ON PA #2, 1dad20e9-76ae-5c54-b352-cfb9313ec3d8
MAN ON SPEAKERS, 01ecf416-0724-51f9-9f51-f6e83ead92db
MAN ON THE RADIO, 53e0c0f6-14d6-5f06-8dcb-c383bd89a418
MAN#1, 52919991-5269-5f5e-8ae5-f753aafafa4c
MAN#2, 24199910-279d-5a9d-82fe-825321f7a8df
MANDARIN LOOK-OUT, f8b5a8d2-57c2-52c5-af08-0b99eed2883b
MANDY, 4f7f3863-9083-5292-9577-89df6e351131
MANTIS, e326bda4-d313-5266-a40d-eedbcdf00ee5
MARIA HILL, 3851edf5-4d21-58cb-b65b-79db9b9ab0af
MARIA RAMBEAU, 3979abda-1c88-5976-82f4-6cca7232ca4a
MARIA STARK, bd4bba50-f36d-586a-97d0-9b5e57acb61e
MARJORIE, 802e8e9e-5534-5c8f-a754-6dd32fecb2e3
MARSHAL, 2c9bead8-854e-5817-8086-2a9dddf0c91c
MARTINEX, 8b96ed12-580b-5672-9941-02ae6baf3679
MAY PARKER, 30ec288a-4df0-5420-8355-fc6bd345764c
MAYA HANSEN, c7ee1265-f92d-51d9-9dfe-45cfb725dabf
MEDICAL EXAMINER, aae906dc-14c9-558c-9ff8-347e741dffbb
MERCENARY, 0e898dcb-3a44-5aa8-a183-6e0a77380f5a
MERCENARY #1, 74ac2f6a-62fe-59f3-bcea-fbf9ecb488d2
MERCENARY #2, 84babed6-a6f6-5c82-b414-4af4c8ce792b
MERCHANT TRIBE ELDER, 873af1c2-5927-5169-9198-4a8391779255
MEREDITH QUILL, 9147d5e7-0d71-5b75-8929-09fdd39df5df
MICHELLE "MJ" JONES, b53cc6c4-a26c-542f-986a-f8bfbf8bff1f
MILITANT LEADER, 0b123256-63ae-5d34-bda4-d1c223fca836
MILITARY AIDE, 957af512-e3f3-5f06-ab37-63bc3fd628cc
MINING TRIBE ELDER, b6bc874c-38ee-5a54-9fbe-fa79a894f3c4
MINN-ERVA, cff56c7b-b1bf-54e6-8da4-f02a45e63bfb
MIT TEACHER, 8e3d8edd-8a75-5a49-a102-f3ebefa3dab5
MITCHELL CARSON, 62d468d4-86c8-530d-b71f-e34a3a6ba5bf
MODERATOR, 20f0febd-b52c-5332-88b3-3ec2b9ca3ca8
MONICA RAMBEAU, b57065b0-5dfb-5342-9bea-c21fb4cc980d
MORGAN STARK, 3c51c13b-496f-5d2c-859e-d6dd44d49e33
MOTHER, 3eebe7d8-7a74-5da9-9cf8-aebd0779126f
MR. COBBWELL, 391ccac4-7a71-5e3b-8a60-baa76f2931b6
MR. DELMAR, d9064b66-d963-5233-b36d-464e700dce20
MR. HAPGOOD, 577e3767-0dba-5156-9a75-5e72f91fc5f0
